,amoA.001,amoA.002,amoA.003,amoA.004,amoA.005,amoA.006,amoA.007,amoA.008,amoA.009,amoA.010,amoA.011,amoA.012,amoA.013,amoA.014,amoA.015,amoA.016,amoA.017,amoA.018,amoA.019,amoA.020,amoA.021,amoA.022,amoA.023,amoA.024,amoA.025,amoA.026,amoA.027,amoA.028,amoA.029,amoA.030,amoA.031,amoA.032,amoA.033,amoA.034,amoA.035,amoA.036,amoA.037,amoA.038,amoA.039,amoA.040,amoA.041,amoA.042,amoA.043,amoA.044,amoA.045,amoA.046,amoA.047,amoA.048,amoA.049,amoA.050,amoA.051,amoA.052,amoA.053,amoA.054,amoA.055,amoA.056,amoA.057,amoA.058,amoA.059,amoA.060,amoA.061,amoA.062,amoA.063,amoA.064,amoA.065,amoA.066,amoA.067,amoA.068,amoA.069,amoA.070,amoA.071,amoA.072,amoA.073,amoA.074,amoA.075,amoA.076,amoA.077,amoA.078,fert_level,crop,timepoint,doe,addition,field_rep
27b,9.056549479,9.406658265,7.897463809,26.93463283,5.002531133,26.93463283,26.93463283,6.322652309,5.415676914,7.373941459,5.370401979,5.080281704,7.417654739,7.358548007,5.927302684,5.406470745,7.107390417,8.277667241,9.30808158,7.553333336,26.93463283,5.333552026,6.955057301,6.811004615,5.167714993,7.382116755,7.453461583,26.93463283,26.93463283,26.93463283,8.629105758,6.898759656,26.93463283,26.93463283,7.562825135,9.013028673,9.161520169,26.93463283,4.943895072,26.93463283,26.93463283,26.93463283,6.726279599,9.455492631,26.93463283,26.93463283,8.92285853,26.93463283,26.93463283,26.93463283,5.872687641,6.624541783,26.93463283,8.952115344,7.027556851,7.038283441,5.421935078,6.681581542,8.281838704,8.293695258,8.223264215,9.717583767,7.562576073,26.93463283,9.400609418,6.555971421,7.386499433,7.920893601,26.93463283,26.93463283,26.93463283,9.758870684,26.93463283,6.895246153,26.93463283,26.93463283,26.93463283,26.93463283,336,corn,b,5,nitrogen,4
8f,26.59444414,26.59444414,26.59444414,26.59444414,6.712513433,26.59444414,26.59444414,26.59444414,6.974190336,26.59444414,7.986993594,5.01390687,9.177331171,26.59444414,26.59444414,8.411440097,26.59444414,26.59444414,26.59444414,26.59444414,26.59444414,26.59444414,26.59444414,26.59444414,26.59444414,26.59444414,26.59444414,26.59444414,26.59444414,26.59444414,26.59444414,26.59444414,26.59444414,8.564027226,26.59444414,26.59444414,26.59444414,26.59444414,5.316836259,26.59444414,8.912591134,26.59444414,9.392198638,26.59444414,26.59444414,26.59444414,26.59444414,26.59444414,9.245461938,26.59444414,26.59444414,7.54987806,26.59444414,26.59444414,26.59444414,26.59444414,26.59444414,26.59444414,26.59444414,26.59444414,26.59444414,26.59444414,26.59444414,26.59444414,26.59444414,26.59444414,26.59444414,9.338307983,26.59444414,9.409312361,26.59444414,9.475106574,26.59444414,26.59444414,26.59444414,26.59444414,26.59444414,26.59444414,0,corn,f,87,carbon,2
9f,26.71876216,26.71876216,9.43549323,26.71876216,8.360178436,26.71876216,26.71876216,9.165435494,7.710874571,26.71876216,7.240395969,4.773320849,26.71876216,26.71876216,9.37995818,26.71876216,26.71876216,26.71876216,26.71876216,9.315690242,26.71876216,8.918949097,26.71876216,8.814075286,7.887941681,26.71876216,9.6729905,26.71876216,9.111265903,26.71876216,26.71876216,26.71876216,9.17413962,26.71876216,26.71876216,9.249734259,26.71876216,26.71876216,5.229179886,9.606572582,26.71876216,26.71876216,26.71876216,26.71876216,8.416234928,9.313308457,6.972651992,26.71876216,8.354908794,26.71876216,26.71876216,8.382338215,26.71876216,9.154323595,8.610185918,8.435674057,7.178470167,9.213462712,26.71876216,9.414506991,26.71876216,26.71876216,26.71876216,26.71876216,26.71876216,7.480477848,9.566051436,26.71876216,26.71876216,26.71876216,26.71876216,26.71876216,26.71876216,26.71876216,26.71876216,26.71876216,26.71876216,26.71876216,0,corn,f,87,nitrogen,2
54b,9.495314446,26.75833295,9.222208641,26.75833295,7.701758534,9.389104202,26.75833295,26.75833295,8.821271264,26.75833295,8.575324287,5.340310946,9.532722483,8.181458407,9.098153305,8.178130246,26.75833295,26.75833295,26.75833295,8.402632058,26.75833295,26.75833295,26.75833295,26.75833295,7.560859121,8.092503937,8.864862873,26.75833295,26.75833295,26.75833295,26.75833295,26.75833295,26.75833295,8.935832366,26.75833295,8.409064344,8.686842009,26.75833295,5.383234919,26.75833295,8.198158912,9.113103581,9.262574526,8.902883683,8.062708282,8.254118338,8.764426917,26.75833295,8.729583254,26.75833295,6.870174949,9.715824329,26.75833295,7.180867182,26.75833295,8.084731439,7.830918154,7.82938829,26.75833295,7.779356463,26.75833295,26.75833295,26.75833295,26.75833295,26.75833295,26.75833295,8.647493137,26.75833295,26.75833295,8.31725112,26.75833295,26.75833295,26.75833295,26.75833295,26.75833295,26.75833295,26.75833295,26.75833295,0,mxg,b,5,nitrogen,2
26f,7.776995016,8.275085468,7.176191205,9.69331656,6.115615252,27.05077964,27.05077964,6.726468701,5.662171256,7.50424193,6.156518411,4.904507545,6.42222125,6.734594793,5.693666947,6.175259285,7.834515538,8.590715139,8.814003736,7.267973373,27.05077964,5.69303706,7.570301535,6.002759238,5.032358481,6.553066407,7.134997385,10.02610104,27.05077964,27.05077964,8.785152002,6.120495382,9.98218254,8.598080335,7.424798865,7.351659477,7.997137547,27.05077964,5.079418085,27.05077964,27.05077964,27.05077964,6.335052421,27.05077964,27.05077964,9.925625827,7.709680791,27.05077964,27.05077964,27.05077964,6.481604769,5.945302071,27.05077964,8.603135755,6.921313556,7.785381572,5.808440719,6.308139866,6.98041039,7.721244103,9.040239325,27.05077964,9.861189234,27.05077964,9.589214636,5.997425113,8.672310578,7.316619972,27.05077964,27.05077964,27.05077964,9.764868586,27.05077964,6.766323757,27.05077964,27.05077964,27.05077964,27.05077964,336,corn,f,87,carbon,4
65b,8.648181742,26.67180818,6.22975621,7.564397899,5.293321247,26.67180818,9.646807531,7.220816693,5.624091071,7.928872544,6.219533378,4.664140315,8.370820783,6.739499826,7.218264823,5.498535,7.655594296,7.333007944,26.67180818,6.840075707,26.67180818,6.651906834,8.383126498,7.629635619,6.138264967,6.581008583,6.831554304,26.67180818,6.671741341,26.67180818,26.67180818,8.068688352,7.390021234,6.231365791,8.108821865,7.397156768,7.004316843,26.67180818,4.746238538,8.054911407,9.348437524,7.380567738,7.616158131,8.518636543,6.500990832,6.746860918,6.682547025,26.67180818,6.793475864,9.611084771,5.688542487,5.911140182,8.206752644,7.621070882,7.779789369,7.317256214,5.592250622,6.843216215,7.56457458,6.532077086,8.166824746,7.606686188,26.67180818,26.67180818,26.67180818,5.949907973,8.137237831,9.336389923,8.11228528,5.946005218,26.67180818,26.67180818,26.67180818,8.780967808,26.67180818,26.67180818,26.67180818,26.67180818,336,mxg,b,5,carbon,4
39f,7.928067206,8.282867117,6.885406688,9.357849127,5.82099215,9.57115302,27.08999155,5.779345692,5.341401364,6.66421391,6.096365424,4.816185293,5.964085177,6.030605501,5.985031922,5.203154852,6.702565568,7.79134604,27.08999155,6.430094148,27.08999155,5.054039027,6.334150969,6.313931615,5.181991297,6.864985451,7.871660897,27.08999155,9.194557646,27.08999155,7.843276003,7.182703184,8.424834731,8.786990188,7.763585784,7.169749142,7.834296503,27.08999155,5.539744833,27.08999155,27.08999155,27.08999155,6.066918877,7.510453118,27.08999155,9.048571234,7.921269895,27.08999155,27.08999155,27.08999155,6.323147147,5.083057857,9.624988845,7.694862412,6.139641729,7.934814621,5.26387799,6.72599885,6.738339745,7.54760687,7.526132786,10.02492337,7.309649997,27.08999155,8.208388979,5.82020202,6.691790591,7.766342146,27.08999155,27.08999155,27.08999155,9.912156373,27.08999155,6.741292984,27.08999155,27.08999155,27.08999155,27.08999155,336,mxg,f,87,nitrogen,1
56b,7.666951801,8.860057923,7.648407758,8.699658657,5.019421531,27.67973404,9.352539691,6.061696561,5.094972395,6.88697508,4.936168789,5.119619268,6.292032052,6.164381709,5.968836681,5.679626978,6.890320063,7.101399963,9.148565221,7.663502228,27.67973404,5.482976699,6.893982264,6.390269064,4.593551118,6.99071615,7.174138821,27.67973404,8.088535024,27.67973404,8.637979385,6.906649253,10.34671222,7.668613346,7.519423368,6.73770769,8.880868742,27.67973404,5.10987913,27.67973404,27.67973404,27.67973404,5.855568828,8.216152632,27.67973404,9.654518224,7.934624014,27.67973404,9.663437711,27.67973404,5.509230802,5.372195172,8.645576593,7.911454702,6.45213649,7.071706387,5.111003744,6.578794547,7.887680052,8.488807089,8.004057658,8.085845,9.444465206,27.67973404,7.575767402,5.969999177,6.838622011,7.385323592,27.67973404,27.67973404,8.188612953,10.53495819,27.67973404,6.673596453,27.67973404,27.67973404,27.67973404,27.67973404,336,mxg,b,5,carbon,3
14b,26.64760941,26.64760941,26.64760941,26.64760941,7.05796195,26.64760941,26.64760941,26.64760941,6.541132847,26.64760941,6.423363015,6.062859649,7.8612207,26.64760941,8.669917692,7.033490289,26.64760941,8.32675864,9.310477906,6.974159107,26.64760941,7.472751589,26.64760941,9.13188799,6.306638142,7.996090505,7.954192217,26.64760941,26.64760941,26.64760941,26.64760941,9.502934925,7.148231229,7.408299516,26.64760941,26.64760941,7.996594951,26.64760941,5.719142469,26.64760941,8.537103789,26.64760941,7.785292952,8.49859387,5.474493549,6.222737257,6.728195041,26.64760941,7.65013081,26.64760941,6.693604693,6.785165799,26.64760941,9.424980315,26.64760941,6.773996779,7.612082285,7.669244861,26.64760941,8.941465671,26.64760941,26.64760941,26.64760941,26.64760941,26.64760941,8.816003373,9.482373417,26.64760941,9.416385847,6.414766172,26.64760941,26.64760941,26.64760941,26.64760941,26.64760941,26.64760941,26.64760941,26.64760941,336,corn,b,5,carbon,1
13f,25.19325631,25.19325631,25.19325631,25.19325631,7.461569418,25.19325631,25.19325631,25.19325631,7.231246135,25.19325631,6.003275507,4.195691147,6.002156421,25.19325631,8.062691571,5.930903258,8.097414186,25.19325631,7.244225238,25.19325631,25.19325631,25.19325631,25.19325631,25.19325631,5.643898525,8.190021845,25.19325631,25.19325631,25.19325631,25.19325631,25.19325631,25.19325631,7.530950732,7.27189235,25.19325631,25.19325631,25.19325631,25.19325631,4.039382306,25.19325631,7.353902796,6.54138984,7.015282985,25.19325631,7.153299894,7.447221753,25.19325631,25.19325631,25.19325631,7.95449533,7.95065059,6.826703032,25.19325631,25.19325631,25.19325631,7.736824625,25.19325631,25.19325631,25.19325631,25.19325631,25.19325631,25.19325631,25.19325631,25.19325631,25.19325631,25.19325631,25.19325631,25.19325631,25.19325631,7.268948379,25.19325631,25.19325631,25.19325631,25.19325631,25.19325631,25.19325631,25.19325631,25.19325631,336,corn,f,87,control,1
61b,26.81195336,9.572723577,26.81195336,26.81195336,7.759784419,9.319100813,26.81195336,8.179176076,7.354228315,26.81195336,7.148072681,5.574525385,9.433263906,8.536612907,7.368676545,7.579993196,26.81195336,26.81195336,26.81195336,9.308823622,26.81195336,8.060400712,26.81195336,26.81195336,8.101660579,26.81195336,8.182704281,26.81195336,26.81195336,26.81195336,26.81195336,26.81195336,26.81195336,9.705713056,9.190258604,8.965524794,9.447954764,26.81195336,6.146441161,26.81195336,26.81195336,26.81195336,8.680352326,26.81195336,26.81195336,26.81195336,26.81195336,26.81195336,26.81195336,26.81195336,8.43805635,8.899032304,26.81195336,26.81195336,7.873358357,26.81195336,9.204441533,7.935958429,7.378428557,26.81195336,9.529689857,26.81195336,26.81195336,26.81195336,26.81195336,26.81195336,26.81195336,26.81195336,26.81195336,26.81195336,26.81195336,26.81195336,26.81195336,9.521823586,26.81195336,26.81195336,26.81195336,26.81195336,0,mxg,b,5,control,3
28f,9.41449722,26.61308383,26.61308383,26.61308383,26.61308383,26.61308383,26.61308383,26.61308383,9.20097616,9.070430289,8.305252621,5.808180452,26.61308383,26.61308383,8.418339616,9.567788761,26.61308383,26.61308383,26.61308383,26.61308383,26.61308383,26.61308383,8.544070068,9.18217225,8.517531689,26.61308383,26.61308383,26.61308383,26.61308383,26.61308383,26.61308383,9.546297279,26.61308383,26.61308383,26.61308383,9.331559422,26.61308383,26.61308383,5.589137548,26.61308383,26.61308383,26.61308383,8.865647376,26.61308383,26.61308383,26.61308383,26.61308383,26.61308383,26.61308383,26.61308383,8.368229451,26.61308383,26.61308383,8.93086405,26.61308383,26.61308383,26.61308383,26.61308383,26.61308383,26.61308383,26.61308383,26.61308383,26.61308383,26.61308383,26.61308383,9.219368142,26.61308383,26.61308383,26.61308383,26.61308383,26.61308383,26.61308383,26.61308383,26.61308383,26.61308383,26.61308383,26.61308383,26.61308383,0,corn,f,87,control,3
55f,7.309449219,7.376064876,6.677632713,8.338901957,4.766987578,8.913926647,26.74668117,5.437038382,4.544385708,6.930184223,4.654083437,4.008591538,5.905092889,5.907629362,4.926183095,5.177904581,6.213042183,7.568754074,8.909812122,6.797048919,26.74668117,4.70669363,6.268557853,5.793838428,4.533304141,6.158870016,6.302131391,26.74668117,7.792759809,26.74668117,7.746479759,5.567341892,8.615651752,7.276767844,6.989290072,6.547432767,7.415900307,9.103541653,4.573670788,26.74668117,26.74668117,26.74668117,6.265260623,6.925470711,26.74668117,8.75393018,7.501510761,26.74668117,26.74668117,26.74668117,4.796533833,5.37666881,26.74668117,6.693947341,7.112839673,7.979104059,4.603032155,6.538341416,7.467846399,7.907382538,7.482245842,7.850114246,7.314307602,26.74668117,26.74668117,5.269010788,6.962755516,6.897173115,26.74668117,26.74668117,8.921723596,9.45503299,26.74668117,6.454660785,26.74668117,26.74668117,26.74668117,26.74668117,336,mxg,f,87,control,3
68b,27.18669449,27.18669449,27.18669449,27.18669449,8.02037923,27.18669449,27.18669449,8.781487852,8.219317793,27.18669449,8.315693531,6.569668662,9.608821919,9.42411757,8.9534424,8.073467173,27.18669449,27.18669449,27.18669449,27.18669449,27.18669449,9.824199955,27.18669449,8.842866436,8.291227554,27.18669449,27.18669449,27.18669449,27.18669449,27.18669449,27.18669449,8.711770747,27.18669449,27.18669449,27.18669449,27.18669449,27.18669449,27.18669449,6.803994053,27.18669449,27.18669449,27.18669449,9.075930714,27.18669449,27.18669449,27.18669449,27.18669449,27.18669449,27.18669449,27.18669449,8.703970019,9.626143015,27.18669449,27.18669449,27.18669449,9.717853043,8.924334302,27.18669449,27.18669449,27.18669449,27.18669449,27.18669449,27.18669449,27.18669449,27.18669449,9.165565365,27.18669449,27.18669449,27.18669449,27.18669449,27.18669449,27.18669449,27.18669449,27.18669449,27.18669449,27.18669449,27.18669449,27.18669449,0,mxg,b,5,carbon,4
36f,26.75062691,26.75062691,26.75062691,26.75062691,9.263194834,8.868826526,26.75062691,26.75062691,9.292621044,9.738599218,26.75062691,5.582344617,26.75062691,26.75062691,26.75062691,8.969081934,26.75062691,26.75062691,26.75062691,9.616178591,26.75062691,9.570635188,26.75062691,26.75062691,26.75062691,26.75062691,9.569343232,26.75062691,8.555477817,26.75062691,26.75062691,26.75062691,26.75062691,26.75062691,9.727968965,9.15037957,26.75062691,26.75062691,5.477422588,9.529533412,26.75062691,26.75062691,26.75062691,26.75062691,8.003831564,9.680728549,9.28662457,26.75062691,26.75062691,26.75062691,9.278403375,26.75062691,26.75062691,26.75062691,26.75062691,26.75062691,8.627408732,26.75062691,8.051717349,9.722052999,26.75062691,26.75062691,26.75062691,26.75062691,26.75062691,8.43312323,26.75062691,26.75062691,26.75062691,26.75062691,26.75062691,26.75062691,26.75062691,26.75062691,26.75062691,26.75062691,26.75062691,26.75062691,0,corn,f,87,nitrogen,4
1b,27.33444336,27.33444336,8.897403835,27.33444336,8.465472466,27.33444336,27.33444336,7.657680503,8.270766555,9.554439893,6.609147633,5.847573013,9.285816358,8.553240641,8.039177079,7.271161398,9.552075666,27.33444336,27.33444336,9.586387663,27.33444336,8.605966518,9.045261764,10.16937907,7.811304898,27.33444336,10.20567402,27.33444336,27.33444336,27.33444336,9.92975455,8.340266211,10.29276842,10.01432901,10.15053815,27.33444336,9.916932517,27.33444336,6.36773259,27.33444336,27.33444336,27.33444336,8.839585105,27.33444336,27.33444336,27.33444336,27.33444336,27.33444336,27.33444336,27.33444336,8.33864495,7.921710562,27.33444336,9.373413171,9.217414321,27.33444336,7.753496944,8.612583187,27.33444336,27.33444336,10.00579393,27.33444336,27.33444336,27.33444336,27.33444336,8.127635993,8.915387268,27.33444336,27.33444336,27.33444336,27.33444336,27.33444336,27.33444336,8.763053752,27.33444336,27.33444336,27.33444336,27.33444336,0,corn,b,5,control,1
