,amoA.001,amoA.002,amoA.003,amoA.004,amoA.005,amoA.006,amoA.007,amoA.008,amoA.009,amoA.010,amoA.011,amoA.012,amoA.013,amoA.014,amoA.015,amoA.016,amoA.017,amoA.018,amoA.019,amoA.020,amoA.021,amoA.022,amoA.023,amoA.024,amoA.025,amoA.026,amoA.027,amoA.028,amoA.029,amoA.030,amoA.031,amoA.032,amoA.033,amoA.034,amoA.035,amoA.036,amoA.037,amoA.038,amoA.039,amoA.040,amoA.041,amoA.042,amoA.043,amoA.044,amoA.045,amoA.046,amoA.047,amoA.048,amoA.049,amoA.050,amoA.051,amoA.052,amoA.053,amoA.054,amoA.055,amoA.056,amoA.057,amoA.058,amoA.059,amoA.060,amoA.061,amoA.062,amoA.063,amoA.064,amoA.065,amoA.066,amoA.067,amoA.068,amoA.069,amoA.070,amoA.071,amoA.072,amoA.073,amoA.074,amoA.075,amoA.076,amoA.077,amoA.078,16S,fert_level,crop,timepoint,doe,addition,field_rep
17f,21.49681452,22.41161059,21.78957808,22.93608637,19.47595626,40,40,22.54130891,18.79012776,22.83541398,19.49917442,18.32915555,21.83245746,22.21462419,20.93673965,20.91977955,21.10083161,21.4615814,22.79062575,20.20678266,40,20.5929152,40,20.89044865,19.49372873,20.08417754,19.98165752,40,21.66253755,40,40,21.35043419,21.1015091,21.66874787,21.08488506,21.37064406,22.03408543,40,18.49850624,40,21.31731656,21.21518199,20.84430595,21.27862719,20.26952925,19.98698787,19.72543697,40,19.47775547,40,22.0349334,19.88380941,40,22.9556841,40,21.02499598,19.69942293,22.18676089,22.34936883,20.77714638,40,22.84068124,22.85381865,40,40,19.9181155,40,21.76385071,40,20.30317,40,40,40,22.50509032,40,40,40,40,13.81105441,336,corn,f,87,carbon,2
66b,20.04454641,21.44199571,21.01152823,21.673423,18.71141559,40,22.63747917,21.17467004,19.46885264,20.8249529,19.16309569,18.46836727,20.85781409,20.38946254,20.92865419,19.17208081,20.44491499,20.5214821,20.99496222,20.40989554,40,19.4734504,21.88392695,21.64432952,19.08614875,20.39975077,20.39215119,40,21.60560824,40,40,20.64904833,20.62965585,20.35895403,40,20.04626382,20.0807639,40,18.10523673,21.95129419,20.92889791,19.88457207,20.68740821,21.31998785,20.26245801,20.08661203,18.74914265,40,19.94316209,40,19.89461417,18.9055986,21.53311693,20.64613804,40,20.11423766,18.95276031,19.83277269,21.13562665,19.54960648,22.87140707,22.90924995,21.50668195,40,21.75305677,19.4704915,22.11664445,21.52763661,22.67622556,20.87358745,40,40,40,22.4750832,40,40,40,40,13.8004988,336,mxg,b,5,nitrogen,4
54f,40,40,40,40,40,40,40,40,22.68465632,40,40,20.01234837,40,40,40,22.80933346,22.90675195,40,40,40,40,40,40,40,22.11403738,40,40,40,40,40,40,40,40,40,40,22.99697426,40,40,19.9656803,40,40,40,22.93210258,40,40,40,22.35383322,40,40,40,22.70823414,22.24789898,40,40,40,40,40,40,40,22.46350406,40,40,40,40,40,22.58352882,40,40,40,21.61888975,40,40,40,40,40,40,40,40,14.06531887,0,mxg,f,87,nitrogen,2
35f,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,17.42407763,0,corn,f,87,carbon,4
62f,40,40,40,40,40,40,40,40,40,40,40,22.55155247,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,21.22694652,40,40,40,40,40,40,40,40,40,40,40,40,40,40,22.68899245,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,17.48377545,0,mxg,f,87,carbon,3
15b,21.86629756,40,40,40,20.15840942,40,40,40,19.87514457,40,20.80565724,18.50190562,22.2825022,22.6281532,22.88724646,20.21749625,40,40,40,20.8592628,40,21.95738497,40,40,20.16738066,21.00973175,20.73445561,40,40,40,40,22.39244117,21.43964182,21.60246609,40,21.99316643,21.0801072,40,19.2361255,40,22.84027437,21.93013164,21.01892148,40,19.63770062,21.38022551,21.74708589,40,21.41931506,40,21.23547182,20.2175009,40,22.3670344,40,19.84802525,21.03861735,40,40,21.01410074,40,40,40,40,40,21.18607092,40,40,22.40559786,20.6338983,40,21.9443945,40,21.75177408,40,40,40,40,14.34007483,336,corn,b,5,nitrogen,1
24b,20.67092344,21.69644259,19.58597383,40,18.7599938,40,40,19.18368326,18.15571332,20.36487602,18.53555605,18.17308972,19.91687346,20.79666612,19.02491903,18.90847816,20.4992892,21.71628828,40,19.85434985,40,18.21596509,20.2402201,19.66695053,18.47245609,20.92582832,20.4121341,40,21.95202886,40,22.79871199,19.55824349,22.3432384,22.07585207,21.40234663,21.24453381,21.91341714,40,18.46321027,40,40,40,19.74542705,22.34714324,40,40,20.66039124,40,40,40,19.12151553,18.86731941,40,21.68725608,20.01230758,20.60708029,18.93094387,19.70125132,20.29311945,20.74516991,21.61594295,22.86396486,21.70720571,40,40,19.10091702,20.34901869,20.24716783,40,40,40,22.80944585,40,21.2184214,40,40,40,40,12.54313152,336,corn,b,5,nitrogen,3
56f,22.26019378,40,40,40,19.40736721,22.42549136,40,19.75757386,19.76384342,21.00865104,19.26776261,19.28116773,20.2941921,20.90022927,19.43614444,22.22682283,21.37810443,40,40,20.77084058,40,19.85597878,21.55929377,19.72393424,18.93807015,20.85032025,20.43397285,40,40,40,22.94547232,20.16998998,40,21.84088251,22.87001404,40,40,40,19.17271971,40,40,40,20.10959544,40,40,40,22.17584989,40,40,40,19.37183319,19.46276627,40,21.71616639,22.81975123,40,19.59342083,21.27908085,21.54251313,40,40,40,22.70681272,40,20.46247916,20.23445357,22.67597731,21.62967267,40,40,40,40,40,40,40,40,40,40,14.72576578,336,mxg,f,87,carbon,3
55b,21.05284955,20.62734758,19.32747888,21.5531124,17.88072962,40,40,17.93057809,17.81773658,19.33175743,17.95253465,17.2989718,18.91346477,18.76212427,17.80694852,18.10095114,19.33558305,19.86490546,40,19.04978674,40,18.15284211,20.16671151,18.6302046,17.14420665,20.14077209,20.4598463,40,20.71955117,40,21.01407158,18.53258841,22.9905748,21.16909286,20.09611639,18.99719302,21.83521174,40,17.53572155,40,40,40,18.68108722,19.91328138,40,22.12366731,20.76615772,40,22.34729636,40,18.2374666,17.88798952,20.90942059,19.95357136,20.06730373,19.50616629,17.53052038,19.04127744,19.14487546,19.80865096,20.7763219,20.8635655,20.33928513,40,22.1098001,17.99916546,19.72215863,19.87890856,40,40,21.09289779,22.13791435,40,19.26984609,40,40,40,40,12.74010647,336,mxg,b,5,control,3
38f,20.66110434,20.11708652,19.04729553,40,18.40584113,40,40,19.35559164,18.26934496,19.62205015,18.20685767,18.53507063,20.30861831,19.58945935,17.99782965,18.35082664,19.57212467,20.70624448,40,19.0388537,40,18.32752194,19.72383119,19.61896623,18.086575,20.3812495,20.01071787,40,21.38508453,40,21.3704436,19.54504932,22.29469224,20.62465796,20.67648641,19.41870815,21.10344301,21.83240571,18.80661393,40,40,40,18.9098493,19.95823068,40,40,20.98913552,40,40,40,18.55025354,18.40555701,22.54667939,21.02337138,19.58003998,20.79292962,18.83375319,18.89655841,19.15305669,20.09454585,20.78190461,21.98530256,20.24108918,40,21.49932764,19.19989053,19.53485132,19.59058033,40,40,40,40,40,19.23200772,40,40,40,40,12.42618498,336,mxg,f,87,carbon,1
30b,40,22.52670446,40,40,40,40,40,40,21.02951862,40,21.90063479,18.60535264,22.92362237,22.97367374,22.58452479,21.19056075,40,40,40,40,40,22.55834803,22.63803737,40,40,40,40,22.73059816,40,40,40,40,40,40,21.72408374,22.82164702,40,40,18.95554912,40,40,40,40,40,40,40,22.95142812,40,40,40,22.16966266,22.16488254,40,40,40,22.36780477,22.05442558,40,21.72437838,40,40,40,22.99023366,40,40,22.05473411,40,40,40,40,40,40,40,40,40,40,40,40,12.68843649,0,corn,b,5,nitrogen,3
64f,21.21588608,22.20084442,20.74593466,22.19610805,19.13076944,40,22.75925148,21.49274511,18.86191305,21.25448067,19.34985051,18.47154679,20.46708894,20.16338179,20.83421624,19.14684993,20.73809847,21.19634677,22.73389108,19.46778172,40,20.25603409,21.48123998,40,18.46731874,19.73323402,19.49832526,40,20.33007882,40,40,20.57451925,20.24531648,20.72034175,21.76929239,21.06832769,19.54156699,40,18.93463837,20.84575472,21.67448722,20.11514513,20.64988317,21.0703313,19.66216413,20.20590144,19.24528495,40,20.02319868,21.73778294,19.55520704,19.34976541,20.42557984,21.11011493,21.33252192,19.48400436,19.73712025,20.45570055,20.58657985,19.92592595,22.03759044,21.64783899,40,40,22.42936505,19.41656479,20.73232294,21.9265649,22.07911216,21.07279243,22.93728583,22.18914746,40,20.48648153,40,40,40,40,13.80762446,336,mxg,f,87,control,4
62b,40,40,40,40,21.65997901,22.44882348,40,20.76873078,22.55757041,40,20.30334574,18.81004593,22.40277859,40,22.97266729,21.95852245,40,40,40,40,40,22.34865328,40,22.71549617,22.71274159,40,22.44030453,40,40,40,22.71417437,22.70549168,40,22.26303114,40,40,22.3250781,40,18.84330454,40,40,40,20.88446854,40,40,40,40,40,40,40,22.64996967,21.43865361,40,21.43383471,21.85908332,21.71829562,22.26071093,40,22.55094328,40,22.24672674,40,22.55693024,40,40,22.45723071,21.87534772,40,40,40,40,40,40,40,40,40,40,40,13.02240379,0,mxg,b,5,carbon,3
61f,40,40,22.34726555,40,19.96042811,40,40,22.29910574,20.13750176,40,20.80276718,19.07820985,21.98129113,40,21.59265845,40,40,40,40,22.76807733,40,21.5549336,22.97873842,22.35263123,21.89791243,40,22.4073001,40,40,40,40,22.49164474,40,40,21.5373211,22.67775871,40,40,19.1413333,40,40,40,22.16969927,40,40,40,40,40,40,40,22.39950298,22.29426869,40,22.75939113,40,21.33350374,21.08818803,40,22.03403922,40,40,40,40,40,22.42503069,21.05162904,40,40,40,40,40,40,40,40,40,40,40,40,13.21681662,0,mxg,f,87,control,3
3f,40,40,40,40,19.7103942,40,40,40,21.00715684,40,20.55926034,18.63329954,22.24825636,21.37085947,20.71892119,22.70736802,22.49387215,40,40,22.21771113,40,20.60818574,21.87708876,21.62747637,20.538447,22.98508823,40,40,40,40,40,20.67683976,40,40,40,22.22226782,40,40,18.99865746,40,40,40,21.376026,40,40,22.98078101,40,40,40,40,21.55334721,21.12376054,40,40,22.04809777,40,40,21.69136603,40,22.59043843,40,40,22.98945089,40,40,21.89628263,40,40,40,40,40,40,40,22.7309589,40,40,40,40,13.11225292,0,corn,f,87,nitrogen,1
45f,22.6389517,40,40,40,20.66432982,40,40,40,22.12727539,40,21.79601017,19.2020756,22.39966961,22.73671746,40,20.75301331,22.69137448,22.3321143,40,21.2668033,40,21.48602645,40,40,20.92939103,21.3933032,21.83720992,40,22.89961084,40,40,21.00157224,22.03922588,21.91270851,40,22.46909923,22.42531943,40,19.69667987,40,22.0917053,21.54635442,40,22.74747652,20.33053954,21.20633177,20.38025223,40,40,40,21.19993693,21.94524582,40,22.47219155,40,21.21182348,20.89186516,22.22232745,22.96873367,22.75230439,40,40,40,40,40,22.06534054,40,40,40,40,40,22.02009265,40,40,40,40,40,40,14.99677312,336,mxg,f,87,nitrogen,2
30f,40,40,40,40,22.63896707,40,40,40,21.23792115,22.68179394,22.16151827,18.92612208,40,40,40,22.92839905,40,40,40,40,40,40,22.68242787,22.3060336,22.09567694,40,40,40,40,40,40,40,40,40,40,40,40,40,18.83414737,40,40,40,40,40,40,40,40,40,40,40,22.78857297,40,40,40,21.5793286,40,40,40,40,40,40,40,40,40,40,21.87685409,40,40,40,40,40,40,40,40,40,40,40,40,13.4539098,0,corn,f,87,nitrogen,3
51b,22.88478315,40,40,21.34276341,21.71358006,21.85213982,40,40,21.16159252,21.41639849,21.17144198,18.77346863,40,22.24896675,22.17851615,40,22.87967136,22.78834884,40,40,40,40,21.78411441,40,22.48965826,22.51186779,21.77672522,40,21.01101828,40,40,22.72706189,22.57510832,21.5522009,40,21.46756194,40,40,19.4320678,40,22.90291989,40,40,22.62852329,40,40,22.15611313,40,40,40,19.89095956,20.64649916,21.24075862,40,22.15197007,22.39420275,20.24547466,21.59527429,22.10429053,22.60275198,40,40,22.75529551,40,40,21.38994983,40,40,40,40,40,40,40,40,40,40,40,40,12.70745224,0,mxg,b,5,nitrogen,1
